Timestamp (ms),ch0_1Hz,ch0_2Hz,ch0_3Hz,ch0_4Hz,ch0_5Hz,ch0_6Hz,ch0_7Hz,ch0_8Hz,ch0_9Hz,ch0_10Hz,ch0_11Hz,ch0_12Hz,ch0_13Hz,ch0_14Hz,ch0_15Hz,ch0_16Hz,ch0_17Hz,ch0_18Hz,ch0_19Hz,ch0_20Hz,ch0_21Hz,ch0_22Hz,ch0_23Hz,ch0_24Hz,ch0_25Hz,ch0_26Hz,ch0_27Hz,ch0_28Hz,ch0_29Hz,ch0_30Hz,ch1_1Hz,ch1_2Hz,ch1_3Hz,ch1_4Hz,ch1_5Hz,ch1_6Hz,ch1_7Hz,ch1_8Hz,ch1_9Hz,ch1_10Hz,ch1_11Hz,ch1_12Hz,ch1_13Hz,ch1_14Hz,ch1_15Hz,ch1_16Hz,ch1_17Hz,ch1_18Hz,ch1_19Hz,ch1_20Hz,ch1_21Hz,ch1_22Hz,ch1_23Hz,ch1_24Hz,ch1_25Hz,ch1_26Hz,ch1_27Hz,ch1_28Hz,ch1_29Hz,ch1_30Hz,ch2_1Hz,ch2_2Hz,ch2_3Hz,ch2_4Hz,ch2_5Hz,ch2_6Hz,ch2_7Hz,ch2_8Hz,ch2_9Hz,ch2_10Hz,ch2_11Hz,ch2_12Hz,ch2_13Hz,ch2_14Hz,ch2_15Hz,ch2_16Hz,ch2_17Hz,ch2_18Hz,ch2_19Hz,ch2_20Hz,ch2_21Hz,ch2_22Hz,ch2_23Hz,ch2_24Hz,ch2_25Hz,ch2_26Hz,ch2_27Hz,ch2_28Hz,ch2_29Hz,ch2_30Hz,ch3_1Hz,ch3_2Hz,ch3_3Hz,ch3_4Hz,ch3_5Hz,ch3_6Hz,ch3_7Hz,ch3_8Hz,ch3_9Hz,ch3_10Hz,ch3_11Hz,ch3_12Hz,ch3_13Hz,ch3_14Hz,ch3_15Hz,ch3_16Hz,ch3_17Hz,ch3_18Hz,ch3_19Hz,ch3_20Hz,ch3_21Hz,ch3_22Hz,ch3_23Hz,ch3_24Hz,ch3_25Hz,ch3_26Hz,ch3_27Hz,ch3_28Hz,ch3_29Hz,ch3_30Hz,chAux_1Hz,chAux_2Hz,chAux_3Hz,chAux_4Hz,chAux_5Hz,chAux_6Hz,chAux_7Hz,chAux_8Hz,chAux_9Hz,chAux_10Hz,chAux_11Hz,chAux_12Hz,chAux_13Hz,chAux_14Hz,chAux_15Hz,chAux_16Hz,chAux_17Hz,chAux_18Hz,chAux_19Hz,chAux_20Hz,chAux_21Hz,chAux_22Hz,chAux_23Hz,chAux_24Hz,chAux_25Hz,chAux_26Hz,chAux_27Hz,chAux_28Hz,chAux_29Hz,chAux_30Hz,f_1Hz,f_2Hz,f_3Hz,f_4Hz,f_5Hz,f_6Hz,f_7Hz,f_8Hz,f_9Hz,f_10Hz,f_11Hz,f_12Hz,f_13Hz,f_14Hz,f_15Hz,f_16Hz,f_17Hz,f_18Hz,f_19Hz,f_20Hz,f_21Hz,f_22Hz,f_23Hz,f_24Hz,f_25Hz,f_26Hz,f_27Hz,f_28Hz,f_29Hz,f_30Hz,info
1.57945E+12,0.499981549,2.186169715,1.451134621,3.317874327,1.839920167,4.402907607,1.04750684,0.683365659,2.015373474,0.670712302,2.326299716,2.473902423,0.513705425,0.898725048,1.809821524,0.441521423,0.773213478,3.768314896,2.443052427,0.766134993,0.939718811,1.571154137,0.73344447,1.010160951,0.899815553,0.368387862,0.540449207,0.169571863,0.508320735,0.372773239,3.516169359,9.475406015,1.343078467,3.223416365,1.631698201,5.133002023,1.744242216,0.737589097,0.281723611,1.149226509,2.821493147,0.905357137,4.04096253,4.989642485,5.398345506,0.440548425,0.775839757,0.972811035,1.700132588,3.222336047,2.301372052,0.60133863,1.825234975,0.607181047,0.659811668,0.646313046,0.418904086,0.675962023,0.863395774,1.22570119,0.597004078,1.291149573,2.777823445,2.635709631,1.745920321,3.505179335,1.836502829,0.706711168,1.765976451,1.566156433,0.312934263,0.436274711,1.479838364,1.228989475,2.006295365,3.316858293,0.941902987,3.830585983,1.073317227,1.278413685,0.76820219,1.750570984,1.033322637,0.89454526,1.106317911,0.211567553,0.53343747,0.509167053,0.576097901,0.325114475,1.482758211,2.899085972,1.376470904,3.472421727,1.944568859,2.161073284,3.346196114,3.103980104,2.956062593,2.313574674,0.884717906,3.150613471,5.203807718,1.159275346,1.990254665,1.705974771,1.595266396,1.904618869,0.458606098,0.3695133,1.088640681,1.922737217,1.588389418,0.894184377,1.001303051,0.516180586,0.423215044,0.384254963,0.304019685,0.464292526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,0.92429637,0.988190908,2.765384057,1.888015125,2.776140208,3.683065012,1.814915967,1.547560481,1.523055451,0.881532288,1.827692107,3.449096692,0.959922953,0.709256752,1.747492798,0.815134158,0.794556347,3.754798473,1.024253942,1.800149825,2.229845164,0.773594425,1.379956043,0.11088983,0.972928952,0.852297191,0.110519541,0.12131313,0.148743425,0.226004213,2.182809957,6.442201911,3.160704652,4.714656745,3.262325024,4.167461323,1.209245822,4.153179748,3.164794416,1.284534872,3.038476211,1.654663067,3.154570334,4.90394603,3.616768511,2.960957713,2.115195301,1.734769833,2.17551125,2.328295927,2.741000818,0.572929322,1.421315113,1.277441627,0.917123158,0.823750274,0.607681247,0.657907468,0.419475314,0.569463825,0.333002432,2.009314064,2.758415745,3.783305127,1.969153781,2.535742217,1.074284996,1.998344825,1.097433207,2.674358303,0.771670729,0.817999534,0.828524749,3.451707525,1.916393084,1.786403265,1.868756429,2.361758142,0.896564869,1.314490492,0.120099006,0.484477077,2.634433173,0.630997665,0.118014959,0.742257678,0.421411765,0.282845834,0.113632922,0.19520255,0.950660412,1.219467172,2.956195468,2.142576633,2.061708502,2.905707361,3.092787155,2.056243823,1.415287599,1.633368925,1.51170909,4.345604562,3.854454858,0.711275831,2.663570534,2.507069873,1.052303836,1.357312304,1.115490118,2.058138206,0.549194893,1.366470804,1.149519692,0.590361905,0.50284875,0.5108572,0.912660597,0.47216054,0.309050712,0.609020549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,1.615555094,1.071655759,2.490003116,1.219218904,1.21667164,3.835129228,5.934482212,2.040385552,1.337412594,1.136619805,3.142741135,1.677036827,2.909463943,0.378505272,1.619182925,0.902900217,2.219003779,1.582712059,0.938947754,1.276352884,1.965588847,0.566655003,0.925334396,0.374737777,0.695424353,0.195850981,0.343516207,0.469416443,0.323996353,0.49416372,5.650012381,13.38340832,7.446065663,10.51336216,2.051778446,3.253224409,2.801162749,2.312633195,3.02173358,0.827325742,3.344500231,0.785671517,0.586032955,1.388704351,0.65014861,1.61534797,1.921832908,1.599194543,1.486212203,1.159352759,2.320747473,1.173208507,0.537570373,0.371351914,0.194886897,0.529570171,0.372237139,0.531399664,0.557780442,0.542930659,0.617186336,2.236241104,2.231580697,2.073829981,2.052885509,1.650321438,1.024466012,0.961604617,2.38229671,1.890874138,0.311638196,0.646496763,1.149094502,3.480633862,1.175303228,1.108371684,1.180344384,2.186025496,1.044171093,1.069427879,0.240914238,0.84421441,2.004925924,0.91605539,0.485776985,0.41834771,0.333942856,0.101619374,0.357040769,0.039870863,1.474589645,2.441723124,3.149487603,1.902889136,1.533202477,1.162499323,6.218465956,2.21088737,3.711917694,1.004975641,3.479390796,1.927456557,2.727050146,2.679388581,4.128858482,0.6993495,0.580097412,1.106649139,1.44218618,1.160887354,0.93239279,1.465507647,1.151728557,0.673020202,0.343629321,0.922341231,0.348729922,0.530291319,0.199159516,0.179477338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,1.317911967,2.837717895,0.205969811,3.473518779,4.128292575,2.27633626,4.301121369,2.334248116,1.908499511,1.7579546,1.266924546,2.025921452,2.458383561,2.989439069,0.730322467,0.877082433,0.980428833,1.194781668,1.60640781,0.851221043,0.198414387,0.850893763,0.358695246,0.34979718,0.73666355,0.308960839,0.414061586,0.358698457,0.591453157,0.09805535,4.662293086,12.69228527,7.801798215,10.04972265,9.175961942,7.321942979,5.288914554,5.704154289,7.409401173,3.709456981,4.227314166,1.083281555,1.279416062,2.667008395,1.501065179,1.709784025,1.71323944,2.670365244,3.414992393,3.180550853,1.283633325,0.853893354,1.001337717,0.969848764,1.022608639,1.300046307,1.098233823,0.663864433,1.126712144,0.918755531,0.995227754,3.043754259,2.412503284,2.04621222,1.661101047,1.069804889,1.741999481,1.59393769,1.463084736,1.828751986,0.536287168,1.170761475,0.496160506,1.36958665,1.405596933,1.437523683,0.875231822,1.861928238,0.490428639,1.48916781,1.263954913,0.644394639,1.158203936,0.634452865,0.529863241,0.657708236,0.024869911,0.246095112,0.320586754,0.300988125,1.368056781,3.165953064,1.267010622,1.782151573,0.968601999,3.389668207,3.950733365,4.21131099,2.56645189,1.201208297,1.418669166,3.10601904,0.432063232,0.732434869,3.503515707,0.553836686,1.214728766,0.324888113,0.185952327,0.886630978,1.481654283,1.778961868,0.251265369,0.780743356,0.96311762,1.118394066,0.702814672,0.233141187,0.483484051,0.342821302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,1.718825945,2.972542537,0.804865084,4.430821116,6.938844114,3.999641658,3.002097176,4.234518356,3.064754928,1.970946574,1.66485372,1.421729457,1.965321645,2.357908695,0.940689439,0.38372695,1.136355197,0.845757542,2.029257941,1.579315995,1.02573242,0.514067427,0.517013875,0.439591457,0.350091261,0.697840844,0.478871361,0.155050048,0.82941042,0.129196025,17.00949005,21.32606195,31.29298162,22.59627825,1.370787264,15.44191287,2.354796181,7.28628283,0.968045497,2.710593753,3.846444696,3.975015226,0.546486424,1.977007232,1.036500543,1.96147288,0.59811635,3.10659508,2.503310618,2.869150117,1.73277205,0.565928639,0.040262429,1.562613542,0.828864433,1.228883256,0.72155835,0.603408981,0.766144812,0.671229042,0.83899057,3.695158887,2.603434457,0.396709355,3.957292525,1.800729815,1.184479315,1.602421214,1.319445275,2.045670504,0.450186507,0.551047011,0.942476592,0.592916487,1.781232184,1.48510677,1.15592537,0.930426271,1.766718924,0.659811077,0.503376681,0.799614164,0.296663655,0.351558507,0.283003208,0.169338361,0.175811494,0.220118857,0.062634724,0.089457135,1.772702062,2.945342955,3.296598296,4.741653875,1.791919358,2.4937812,2.68480257,5.268096884,4.239583201,1.632721528,2.147300227,1.901397085,1.517145339,1.198347073,3.661954324,0.778028868,1.591429249,0.401269887,0.387887477,0.548992049,2.70308802,0.736308872,0.331623444,0.648588405,0.234384578,0.462767231,0.182779093,0.184802124,0.315039883,0.349358497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,0.467883956,2.429963427,2.278813333,2.960964682,2.091922918,6.673598778,3.733071618,1.856011563,1.420167455,0.617372535,0.749590884,1.768960849,0.729807192,2.351773432,1.689938336,1.038712283,1.198675007,1.592612886,1.720756247,1.943172178,0.621657826,0.507429553,0.775199656,0.237561333,0.657494777,0.29237755,0.214839273,0.076993875,0.614221093,0.233852792,6.42250496,53.93516327,13.78372469,39.62256939,8.822488967,18.29318599,5.464045298,11.00443061,5.634440206,6.584978012,1.415651783,0.964747998,2.938692008,1.084542507,2.312071483,2.137828888,2.066112569,2.401698227,2.097235224,1.291216496,2.921426816,0.455452581,1.080557981,0.826570017,0.510861937,0.281854282,0.246731141,0.2638123,0.559848127,0.411881542,1.099628368,2.444874767,2.879239895,0.560420557,3.23988822,4.603548478,3.010698322,0.628836059,2.614162661,1.329225747,0.918004272,1.020061042,0.343452394,0.829136667,1.220284785,0.09472936,1.663531466,0.736331367,1.419884742,0.76775097,0.688778226,0.422912096,0.578438742,0.183843692,0.07322371,0.187729565,0.108097968,0.04582035,0.110536822,0.117476206,0.824946187,3.990666343,4.106080629,3.335751147,4.589042416,4.42060852,3.105378699,1.105728088,0.600064585,1.903024383,1.708760057,1.435597915,2.195511739,2.428125309,3.974650751,0.673370961,0.842652743,0.77086657,0.657883657,1.763854711,1.402473475,0.915069331,0.422872809,0.88887853,0.685936354,0.358108979,0.123398673,0.363964011,0.198068023,0.260614295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,0.796697145,2.615831633,2.098687923,4.235227994,0.564444165,3.940186024,4.662446277,1.819543172,1.040787655,0.912211809,1.925459166,3.514303487,1.060381211,1.506579939,3.042142924,1.174974147,1.200042945,1.024795038,1.620426762,1.025400552,0.757227197,1.122385976,0.32677599,0.93754508,1.318723634,0.43636057,0.14178692,0.188232424,0.499870707,0.279598118,8.89343997,54.8590897,13.94229296,22.38209636,21.64522122,10.3378145,7.472269201,7.91959723,10.57291048,2.608834685,2.356914165,1.761469747,0.080850522,0.50319762,0.978079365,2.710077722,1.877322189,1.2167052,0.46413315,2.24562688,0.585030567,0.805830908,0.680070857,0.600141831,0.156497189,0.219290217,0.127879799,0.479819006,0.354768553,0.241493508,0.094620426,1.755675105,0.675053863,2.501390135,1.789509073,4.554729373,3.533781029,1.329366454,1.395115111,1.539385069,1.533152854,1.006848175,0.584057928,0.89307257,2.350182875,0.499595876,1.6345201,0.742503322,1.131329341,0.70620234,0.835381817,0.655311448,0.344447656,0.671351522,0.449884214,0.489479188,0.45120489,0.294805598,0.312426292,0.307930125,2.891073867,1.426279075,3.638777141,2.657404021,3.057659516,3.932176113,5.542662763,3.361800608,1.389982105,2.137408056,2.594455484,2.93216871,1.719732917,2.500368648,4.021922343,0.339442143,1.02320221,0.391452673,0.566647705,0.788415412,0.288454999,1.680878663,0.390968563,1.022668085,0.192008343,0.518638917,0.064666396,0.229370456,0.464706782,0.413677684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,1.288882305,1.554105894,0.880993471,3.24699254,0.91297642,2.795914844,2.832967761,1.882879106,3.646860225,0.163385018,1.975598811,3.131009197,1.620576581,0.319953776,2.487498832,1.908451694,1.213755451,1.284222972,0.821708395,1.600380864,0.435237907,0.951932891,0.651152957,0.306830174,1.051198893,0.552109964,0.244369363,0.187123311,0.264258899,0.320248619,14.55026067,29.3145684,17.3171512,8.779595206,7.724540619,7.195969904,3.921592015,4.548438004,3.682898853,2.163246355,2.323642181,1.06005237,2.419771759,1.225700547,2.1058197,1.110695722,0.970090081,0.782594621,1.057294923,1.946851933,1.321266249,0.669096089,0.892934161,1.269526276,0.981479323,0.911754079,0.686857504,0.849131741,0.72370712,0.655489917,0.550215748,0.829160559,1.639063553,2.505147238,0.786443635,2.311400916,2.45295744,0.758230992,1.13684268,2.567391813,0.890614346,1.245599731,1.580970749,0.655601375,1.707115045,0.47465679,1.762719703,1.502928538,0.669981845,0.623200977,0.459262615,0.403405166,0.224802678,0.424382326,0.303593213,0.469280573,0.407488336,0.296707425,0.271300496,0.191032213,1.3427924,3.887059634,1.022053687,4.001542134,1.514491483,3.286319042,5.998420146,0.863063068,3.800908395,1.389581137,2.016689312,3.725888108,0.75115857,2.364066392,3.333671315,0.390569116,0.810933674,0.735934207,1.822251443,0.356609616,0.405574985,0.687714347,1.330202135,0.337542814,0.343608349,0.48546736,0.533711448,0.160380756,0.552887898,0.166635543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,0.673587136,1.662717073,2.248680803,0.465977255,2.191230418,3.188374545,1.201416288,2.682891479,5.8365869,0.247234998,2.928446001,1.741892855,2.364687384,0.229342461,2.466293739,1.719638508,2.1386014,1.022689449,1.99690436,0.728611842,1.257691157,1.262396849,0.365658004,0.396960351,1.18731238,0.686311882,0.526701462,0.194632555,0.137320206,0.238087414,4.282460416,2.899288917,10.21121901,9.295805178,2.377588068,0.220011861,5.22945814,3.673156444,3.400392134,1.405532119,0.209013621,2.231325369,3.761746617,2.818212015,1.024139598,1.730052965,1.323982113,1.054447626,0.71157396,2.122551094,0.810851832,0.760454001,0.629357517,0.86104724,0.908214137,1.07624526,0.554232295,0.777595228,0.76615172,0.782123414,0.629999398,0.623075459,0.233459385,3.582922437,1.557086147,0.181943138,0.498655826,0.678127928,1.591061567,1.732743833,1.032702611,0.92566424,2.113103354,0.961331468,1.045841838,1.171651918,1.324681226,1.259087187,0.794334601,0.422362926,0.843288901,0.085150477,0.360195819,0.418234839,0.517742984,0.577218225,0.138670159,0.115161118,0.084700446,0.058670484,2.935703873,4.62489439,1.98878809,1.917906087,3.088021624,3.788319095,2.194503871,6.084260141,4.570934719,1.304794652,3.408219449,1.79284345,2.605603439,0.140159136,1.487853073,0.553795872,0.563114793,1.138342613,1.471791385,0.989857029,0.339094956,0.847355386,1.114697407,0.636458097,0.508618332,0.519404965,0.275793921,0.316307031,0.283267538,0.382604004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1.57945E+12,0.484954528,0.883827993,0.299822364,2.488360066,1.430703978,1.957375661,3.216830023,4.706290977,4.838376136,3.18576083,0.329171855,0.656639926,2.54325353,1.146977922,1.334694904,1.317324635,1.634565011,0.98946907,1.429803025,0.963979567,0.645765885,1.802640983,0.208195521,0.592819807,0.629168061,0.206042935,0.675805145,0.094911598,0.080113824,0.428397619,2.076632636,6.103933272,8.653509781,5.886403965,2.957930429,2.954563924,6.529240899,0.94184558,3.436902504,2.890644876,0.487986315,3.12607875,1.305847106,1.201346911,0.227154135,1.445583547,0.829081617,2.154988565,1.279890161,0.128298096,1.333161843,0.578664699,0.578377808,0.337323862,0.629058422,0.202740681,0.712414871,0.177588395,0.272788053,0.221008741,1.574581191,2.121362656,1.580228911,2.264616404,2.185431561,2.169760209,0.725316569,1.56517123,0.475329882,0.899167843,2.193390622,1.94449539,0.977925381,0.368329152,1.221699418,0.449925573,0.661720032,0.595926291,0.274124369,0.631610441,0.845372411,0.658556536,0.416973981,0.751182128,0.354507428,0.513240198,0.025015849,0.094205299,0.200829232,0.062874965,0.996270932,0.755177996,3.308119142,3.956935477,3.658965678,0.172230358,3.878839838,5.925613854,5.769389647,3.007334534,0.968243292,3.037136949,2.028506694,0.276889115,1.152591795,0.282862534,0.128475953,1.419944047,1.631019834,0.77018303,0.91142229,0.728210734,1.291608682,0.681141328,0.782690694,0.311235333,0.419275022,0.805884159,0.169287994,0.329371557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
