Timestamp (ms),ch0_1Hz,ch0_2Hz,ch0_3Hz,ch0_4Hz,ch0_5Hz,ch0_6Hz,ch0_7Hz,ch0_8Hz,ch0_9Hz,ch0_10Hz,ch0_11Hz,ch0_12Hz,ch0_13Hz,ch0_14Hz,ch0_15Hz,ch0_16Hz,ch0_17Hz,ch0_18Hz,ch0_19Hz,ch0_20Hz,ch0_21Hz,ch0_22Hz,ch0_23Hz,ch0_24Hz,ch0_25Hz,ch0_26Hz,ch0_27Hz,ch0_28Hz,ch0_29Hz,ch0_30Hz,ch1_1Hz,ch1_2Hz,ch1_3Hz,ch1_4Hz,ch1_5Hz,ch1_6Hz,ch1_7Hz,ch1_8Hz,ch1_9Hz,ch1_10Hz,ch1_11Hz,ch1_12Hz,ch1_13Hz,ch1_14Hz,ch1_15Hz,ch1_16Hz,ch1_17Hz,ch1_18Hz,ch1_19Hz,ch1_20Hz,ch1_21Hz,ch1_22Hz,ch1_23Hz,ch1_24Hz,ch1_25Hz,ch1_26Hz,ch1_27Hz,ch1_28Hz,ch1_29Hz,ch1_30Hz,ch2_1Hz,ch2_2Hz,ch2_3Hz,ch2_4Hz,ch2_5Hz,ch2_6Hz,ch2_7Hz,ch2_8Hz,ch2_9Hz,ch2_10Hz,ch2_11Hz,ch2_12Hz,ch2_13Hz,ch2_14Hz,ch2_15Hz,ch2_16Hz,ch2_17Hz,ch2_18Hz,ch2_19Hz,ch2_20Hz,ch2_21Hz,ch2_22Hz,ch2_23Hz,ch2_24Hz,ch2_25Hz,ch2_26Hz,ch2_27Hz,ch2_28Hz,ch2_29Hz,ch2_30Hz,ch3_1Hz,ch3_2Hz,ch3_3Hz,ch3_4Hz,ch3_5Hz,ch3_6Hz,ch3_7Hz,ch3_8Hz,ch3_9Hz,ch3_10Hz,ch3_11Hz,ch3_12Hz,ch3_13Hz,ch3_14Hz,ch3_15Hz,ch3_16Hz,ch3_17Hz,ch3_18Hz,ch3_19Hz,ch3_20Hz,ch3_21Hz,ch3_22Hz,ch3_23Hz,ch3_24Hz,ch3_25Hz,ch3_26Hz,ch3_27Hz,ch3_28Hz,ch3_29Hz,ch3_30Hz,chAux_1Hz,chAux_2Hz,chAux_3Hz,chAux_4Hz,chAux_5Hz,chAux_6Hz,chAux_7Hz,chAux_8Hz,chAux_9Hz,chAux_10Hz,chAux_11Hz,chAux_12Hz,chAux_13Hz,chAux_14Hz,chAux_15Hz,chAux_16Hz,chAux_17Hz,chAux_18Hz,chAux_19Hz,chAux_20Hz,chAux_21Hz,chAux_22Hz,chAux_23Hz,chAux_24Hz,chAux_25Hz,chAux_26Hz,chAux_27Hz,chAux_28Hz,chAux_29Hz,chAux_30Hz,f_1Hz,f_2Hz,f_3Hz,f_4Hz,f_5Hz,f_6Hz,f_7Hz,f_8Hz,f_9Hz,f_10Hz,f_11Hz,f_12Hz,f_13Hz,f_14Hz,f_15Hz,f_16Hz,f_17Hz,f_18Hz,f_19Hz,f_20Hz,f_21Hz,f_22Hz,f_23Hz,f_24Hz,f_25Hz,f_26Hz,f_27Hz,f_28Hz,f_29Hz,f_30Hz,info
1579424057679,1.177767369150541,5.356722759849711,3.5534408368422143,4.571453617763969,3.282303235220725,2.8189602556156443,3.930898454660402,2.4524887879827637,1.295153660761935,1.936955751466074,1.975828442845168,2.396631111188056,2.024207220726553,1.9037851306979066,1.5686803914669856,2.045362059256311,1.453538469397285,1.2454171784437489,1.299038966094618,0.44930988809306344,0.8558157316927563,1.1288193466719842,0.10940419838455893,0.22773173720880735,0.4254306534102391,0.5298340580568507,0.5492655797403695,0.6106155222777958,0.22699235819950056,0.3578307202135858,1.5141742868506678,1.1030586955606971,4.543624361754931,1.186157992035913,0.08111576405330533,1.3170147767802982,2.274866293863908,0.6555325995986825,1.5742582910887681,1.0593458375926905,0.6424770458721699,0.6476259593647966,0.6026471831575785,0.8495843493890785,0.3391073775514022,1.1514583818338133,0.5548423031835933,0.378569995252759,0.8152665912417204,0.537118700139467,0.5594534788103738,0.2004349097354535,0.24724230085081833,0.08556132875826987,0.16414421673818513,0.10373268397777184,0.14552033361375036,0.12149098032943528,0.10995604405139173,0.10599710374145675,1.0727110484085116,1.7774191471991003,2.904160546991932,0.8659904596407609,1.0595043819701424,2.20731212671769,1.5706185121675436,0.7960862732845744,2.353391776454219,0.21469115880268994,0.7389624251174708,1.0163701468766826,0.7451165173146248,0.8762025452236168,0.9783544793098949,0.5348682625728973,1.7005857040604502,1.488004644564484,0.2232797101913181,0.5437604936840407,0.5364081971727405,0.2938415312019415,0.6884462720580051,0.4945709668128654,0.36425435253461314,0.3433400249812068,0.1836143093350283,0.18909186815046436,0.2639529340443371,0.09331203734921327,0.9922822859041089,6.852673460149193,4.237430870986531,5.750664348561571,2.2754840189395282,2.8474787202743905,4.4752318296365,3.9545159871811673,2.729249627154886,1.7733584686764159,2.6621880753510987,1.5293752866448016,3.2814884333312557,1.324138485746115,2.5927069828337688,1.5068284841069064,0.3634686213399887,2.3098715655715276,0.9599270385675973,0.7405187874928784,0.6061405342359231,0.48252717893159564,0.839867984499123,0.32684633857786904,0.5608525035169547,0.5109001530085627,0.44666273048295796,0.4324755426841438,0.08714828752508119,0.3823170605381319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424058060,1.3480914136214543,2.7686633853787628,5.440570022157301,1.9817902813803037,3.791374482748164,3.4447276179892468,4.445623548501675,3.3456423831850675,1.3013342735446836,2.4510765164448762,1.1880193225607567,2.9488604528041136,1.8385837932553202,2.1935062001454657,1.659671692336187,1.1188046152844704,0.46666516865392593,2.0914819560129767,1.8443301694143615,0.8217493367971594,1.4291904626487484,0.4984677039648276,0.3602593330964301,0.3772164559983,0.2277058833249487,0.24951659187675732,0.3775359852651465,0.350353516547683,0.3669212404494207,0.13059669921551384,1.5646639564731468,3.147440535830204,5.072987032586691,1.01495769477783,2.342430197785257,1.3215571935394774,2.947208680754315,1.1178178498997768,1.7532494765950666,1.2670331534038932,1.4735595851481602,1.537899400589152,0.24306943141078735,0.8753860277875902,0.4851674017591117,0.8042973172024356,0.3920902499179811,0.7257287769439051,0.8901732910720922,0.39860188270833374,0.4525734583637092,0.30426849159144675,0.0630491637802904,0.11685930370419154,0.1651428951567735,0.40925497599272037,0.0785837466507323,0.33651193369394017,0.159125101315975,0.08859792476853277,0.798310539999166,1.103505155775346,3.8735556867126695,1.558898260749566,2.0329138560497557,1.7338375698613975,1.9946896618252798,1.1746913103960164,1.8542556546145217,0.6015468798211142,0.7611555874794219,0.9991391044158413,0.9509661890775107,0.5726392545288757,0.4773095624054303,0.7544292345043951,1.625062924058207,1.5190826454521416,0.2829563585481704,0.3239066670153893,0.43735859858601406,0.5660609555477414,0.3381117503265344,0.7310045707789921,0.0936342769115905,0.15734362989830317,0.1119165408685969,0.123931417191523,0.1547215785221757,0.21211869027166164,2.157787164108892,3.9939834290965965,7.744209135446005,2.8086519851171214,3.9582937717550437,3.107842735082289,4.470335471601069,3.3146382154901923,2.6660968877031426,3.044952982106577,2.089627282887789,2.6373071105833152,3.1784977265523238,0.8810324141934631,1.5938567274481668,1.9463405592271217,0.8962956413003509,2.238164390632438,1.0171645823791093,0.17427539784414323,0.6302175924197108,0.4549482465892023,0.4793754837825729,0.3526239884681381,0.42316421108978386,0.29291881926770313,0.23297756242608786,0.18780205480296014,0.24758379120399926,0.2817019765240791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424058429,2.489235619799149,3.019435441305465,1.9701426261787285,5.141680804133017,0.47391434082835293,0.563367894255318,2.2382187337100268,3.1454713599590525,1.6842800571196002,0.8251609581796117,2.973865958797624,2.5758638575616053,1.2421173417188913,1.1028476822004394,0.5523867971708926,1.0904447232970007,0.5428065220901265,1.3033846286478148,1.9311967459208303,0.7906209205223479,0.3673492754070273,0.6151594861354631,0.873325480791246,0.5376181511595743,0.35705097842614253,0.28106297560098925,0.27497971786238007,0.45924210424211387,0.3533435084842194,0.3452124353867078,3.688299980068803,9.706136023074185,10.063901839747063,10.027264094937287,3.8838466229505313,1.0987009941369013,0.7000003303968935,0.7857701453753305,2.605882293794473,0.6664705864300183,1.4488463451962443,0.28759241588856616,0.821677082983845,0.6947998994723857,1.1233780612216249,0.8445767261211429,0.21821743478636257,0.5436987830288552,0.6727136148853444,0.5209427999069601,0.2553951226255856,0.317571119964971,0.11342569678647743,0.1291607497359069,0.3876743848851958,0.12646826829582364,0.07159277345052828,0.05492819905030234,0.16469816515559366,0.09475397442062981,1.9542187622780547,3.3211142122362687,5.161091154601047,6.932878939417848,2.2263187877788218,1.0924459007832061,1.9486279705925686,1.2299459313330805,0.9211816536591768,0.575960148918675,0.7825616016674095,0.3612334888093061,0.5464331378133606,0.3579325010697814,1.040803661323154,1.0057976341504267,0.9999054340442359,0.9095743766607819,0.7831402659484539,0.42765823669350234,0.2716805907383122,0.8040600004518713,0.16778002567786954,0.2226003804532745,0.5590275372938953,0.18238926832236407,0.18387160855426304,0.1269180811022749,0.1426814510055904,0.21279689586694783,4.553013490249657,8.505213429341415,7.18349485704304,8.57980563143515,3.2432492851544934,0.9035846426860588,1.907730562834363,0.5187985585207435,2.354139665251218,1.9649800938752717,3.282736230391403,1.6018190213401904,1.589284016222264,1.1565511858592756,0.34538635988466476,1.479714252401625,1.027997343694264,1.7056711732193486,0.7189928948093869,0.5840093769605392,0.9749131041353118,0.4127622202856763,0.22831879335441083,0.33985972782285223,0.21975425905008988,0.676787092365551,0.26464759508425917,0.2662654701491941,0.2517739891621453,0.2652701997466471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424058840,1.1717895342180138,5.825592360988497,4.449136396068223,4.879458956369886,1.278317597884479,1.1558278291793669,2.9397448329962304,2.900405755259042,2.2727398371239347,0.686290462742015,3.035963504413179,1.9753965799964475,2.1595983933940097,0.996446182091175,2.174006018322524,0.483066263587823,1.385443114462539,0.2716869422464681,1.6785525654371471,0.7577671824901018,0.7764588022239365,0.7289539983439248,0.7417098923131218,0.6011285215823032,0.26679556283484224,0.5064401766272435,0.12116672716400824,0.4786034707584712,0.3381431887609769,0.2691757472316296,1.9987473838781233,7.355248025420412,16.244141466822125,5.461685363906288,6.068978933890892,1.0291648481648525,0.7852046701262204,1.1228151705204075,0.974098274930772,1.4051849784637462,2.0808800417656794,0.11276375693428699,0.7687711864007364,1.0168165283212518,0.6670928288448835,0.5602035771372944,0.510957464912371,0.4750297640418762,0.27619319972895306,0.2878150852449665,0.14460603887730797,0.3576133637651937,0.14962863796695972,0.5041898420603664,0.2742691734023023,0.08963844832865639,0.1611443490692017,0.24335109507588873,0.1301707561962206,0.21895796068609685,0.863856707138343,2.9711204359699757,7.315494049902103,4.970049444994195,2.4989427448281423,2.155041064932691,0.81920730773271,0.35775465131449313,0.11054367055765227,0.5962434070841995,1.3399229689824326,0.3434640877566808,0.8982849082114697,1.0092915839980896,0.6402164665552141,1.132908909920237,1.2867600475298733,0.37523808142797843,0.18091009843529893,0.46767898691450815,0.44670253308169705,0.161408891403367,0.5717008699175704,0.17302185586144234,0.13269217098520023,0.3693777519466188,0.17699872540807474,0.09117951793367117,0.08158963715643419,0.07572272406100841,0.6449886928974938,11.51221213442604,8.358209312996038,6.927101359613433,3.0493830040436993,1.401020594254706,2.321188021853504,1.2301955516540428,1.3013937551040422,2.198723997315898,2.963406471445877,1.6178935489732411,1.8059520505355475,1.4493638813309815,2.486207703664008,2.21828206463078,1.1683268357010417,1.2217057874795738,1.044087145510099,0.49151094052332767,0.4504113570901085,0.6395019653111369,0.2358925484540069,0.06930710787327997,0.3578967126648178,0.5465855967977796,0.25732206247278616,0.1271415526979228,0.14588564625929895,0.34832162735234573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424059214,1.8453416903437447,9.014032699389112,3.539897706177662,4.22919245875903,7.108078714149432,3.249198342745994,6.377888772789572,5.4113359867538104,4.602145480051899,4.3787908122190435,1.711592537388508,3.1082422618423293,1.805671438309727,2.373644794345162,2.346359328193097,0.9590602469862821,2.008506364898564,2.3356840680824082,1.7256047201515738,0.8205764874567401,1.432585963612683,0.7145717615139455,0.6504076558459974,0.2792238880672545,0.7353081452714453,0.6516362917813195,0.5950031264579775,0.774671988192959,0.644510283251711,0.5358334314740507,6.093642342124881,6.997025333361151,12.280079389153403,2.4231667448527925,1.907663602645798,1.8754114574160936,2.2639226859202473,2.795550539940754,2.6752243116213448,2.616194853984426,2.14008780651109,1.3898495691214676,0.40707623612622224,1.1092884184726068,1.376623751430338,0.6903428599956767,1.244494416488884,1.4370119743498921,1.0784310176487673,1.1910094132646023,0.7542145039558843,1.0968681737978887,1.0688792619934238,0.8558972687346332,0.7535035242012562,0.639268178821739,0.6312081808245552,0.6303959614979149,0.5982648448125966,0.6138535725372078,1.9045209846377362,3.0103777690701277,7.867804354442976,4.371591541266346,1.5445578415398735,2.6200253653351617,2.490403488357518,1.3141441248847257,0.823071830854299,0.7041648007782544,0.6620125550687498,1.0927594495890636,0.9648874991074259,1.215476080288574,1.1308199160755108,0.36391137158857717,0.698271342269704,0.9702592104945141,0.5790615271148358,0.44684281151668165,1.2118799773901254,0.3006522053040544,0.7574116710815133,0.3026353235276167,0.21475582142324387,0.5677645896905518,0.10040263277007977,0.2640077209737499,0.1553985731395022,0.11672901055487331,5.811305206364487,12.888202042609974,5.877595097030506,7.023666320194992,5.191824367460364,5.017347487986954,8.755902234254824,7.332019411546165,7.637917011629874,6.863953090205526,3.5904914058577186,3.4275663556220013,2.4708035069924925,3.7519979109463364,1.7129566888611427,1.6469890351922445,2.165858110522084,2.8679606324436433,2.3679913388673404,1.6511298625676054,2.144105680787511,1.4946948132092843,0.6973726393843745,0.7022259908924672,1.556056680232925,1.5460535837670588,1.1446442942407937,1.051236806124468,0.8824276185882565,0.7572025942747799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424059599,5.736393433846337,10.646069431463973,11.026910622378985,10.761748419208054,12.46358005185795,7.51375647862308,5.140224856223539,6.9784289214252535,1.3698998812694057,5.6458624810695,2.4765602088548864,1.300281958528314,1.2145587518415588,2.481422081566417,0.4633154349684847,0.5935327200064657,0.7260513943591509,0.7905031027786836,1.6106048444113241,1.0628761841603962,0.08478936786409949,1.1688399363608737,0.5845944813197879,1.42313523878155,0.49987806480313607,0.6795474932385821,0.3055844938771184,0.532773181953515,0.3131895680757478,0.352099135444412,1.3381390304357879,11.982253710571477,4.284021167433998,6.73493678902053,5.263500049620548,4.361307938678236,3.3829713008481868,3.677519968719613,2.5338054210797463,0.45631578968591135,0.9688914892106406,0.8569307328193471,0.7127912613730283,1.0305466730609683,1.0078349245277736,0.8923326308897864,0.22043849643374896,0.9887200386993187,0.6887459975875421,0.18394564676490852,0.18107705644012934,0.39164829233335025,0.35926569554639526,0.3554510372834512,0.21013404888819973,0.07775664300151869,0.2411507989015152,0.26515494255157723,0.21152155803037945,0.12081222816697819,2.6273992709671194,3.9031403379763967,9.246275593922688,7.385196939823266,3.434986059470307,3.6751546481689004,2.151337940949037,0.8898970164552215,0.5255620663893357,1.0800179341523055,1.0838751170270113,1.209645715158391,1.0977627796870153,1.5346297497083095,0.4760990632487333,0.9848877191287141,0.5510106144219798,1.4681990897961472,0.6645664754241111,0.7477235820805213,0.5276997881231564,0.8284603487885511,0.327062300034524,0.4411055252118458,0.3843285961728954,0.25221936632172054,0.2661009308633384,0.13524020038382822,0.16439335525063842,0.22296165940882667,7.777620871278167,16.414336861392847,17.941985185866777,15.577797976134494,13.702884243183203,11.301552300629593,7.18675308883566,10.15746862698096,1.565360006424051,7.561843221497138,2.3099762691070946,2.7219066468951163,1.8675333585434577,2.845122256040028,0.5479797435412319,0.8205253866192519,2.4462287486999554,1.668094445197118,0.34546978463343275,0.9231868273662458,0.8870123476571008,1.5833166522916702,0.7496878056838442,1.3981599032341319,0.581217384106692,1.1573422063692043,0.7592570472207486,0.7768027376675589,0.41304401879441704,0.8230276395468447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424060021,7.151027321699795,25.044515480646655,22.889899182306014,16.049344056617418,16.242889108682107,1.4210003864074525,7.121890310903951,4.53859895073722,2.8537157779282576,3.2347709900025374,1.6026938305115774,0.894873542878073,0.5672939497458618,0.895608595594099,2.4787369139104682,1.1159005194902403,1.0863082860396536,1.0527569468026297,2.0033025287971444,1.2668853122808559,1.2230495300523678,0.4931027511988549,1.0301145024856966,0.8629192901904116,0.5319601945469506,0.24743548207157146,0.30649710168500455,0.28999426940806305,0.17523756116410055,0.24437168762739236,2.674798822829344,9.80039712305882,8.320199949538162,5.3507815745740945,4.487921590532839,5.085374333616764,3.5637946739323434,3.4928850637549305,1.7888625555581503,1.119119580722135,1.3658024630790901,0.7847555045372415,0.7868499307233856,0.38325624987885726,1.502683215649,0.6424355318106878,0.4904837912114527,0.906735707154554,0.2738682371794337,0.8007908421994181,0.6948675593665018,0.07519134294147307,0.6811696261069241,0.19670140303748293,0.2739157054878273,0.2424063041536554,0.02248225404995914,0.1198940458334825,0.05916747786776114,0.075606896915411,1.1516001521233028,8.025541365955956,5.769778831693387,8.733194627940964,3.797087140970527,3.6682362958960635,2.027897268708895,1.346803874758139,0.45486194045100997,0.7911455705998302,0.7283941066052447,1.6188241938641585,0.47521613350680764,0.5333930327259575,1.467156773029342,1.3689188072582288,0.3643393569295952,1.4048448841553143,1.0146333199257276,0.9168788771237233,1.0722533579555964,0.671228770162845,0.13061851996089963,0.363546471821696,0.48940851079656206,0.2691833670642938,0.30124697116696586,0.08613820813561376,0.11327549462180984,0.3609793236042901,7.500455612363063,34.284961595692316,26.975634103334233,17.569466258574298,18.707684550498957,4.336491150532075,10.307870996869148,8.170887992445916,4.441616784553218,2.9753571192353685,2.494119474308499,1.4317105831750865,1.9653321584359407,0.5152099133203671,1.9608946458074272,1.9179767426952616,0.7418338004412529,1.2321256604633868,1.4961105765712404,0.6829722531734435,0.6899349423102116,0.24659738237174766,1.0349027371460213,0.6045403684103748,0.16328368846245295,0.39745300311039966,0.3753239819274577,0.584872339200975,0.41137804664779604,0.3743873102480987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424060395,3.867450068432591,26.59406108842546,19.476249483262816,13.081308919282158,5.3955173963403675,7.164815772163599,4.721574402959762,2.762371573027705,2.020892239327885,1.56170919067505,1.3194533996917395,1.767290335881173,3.121819053478889,1.8627250031540876,2.2279117855195425,0.8766440123991693,0.8895913944447004,1.004697150214754,1.8538153087156437,0.8697929471276136,1.554501839349609,0.5047536004323946,1.3580643455586514,0.09670977340747243,0.24890754516827351,0.20067549855357403,0.36303378372572115,0.1898486414920574,0.3242819786630709,0.10057325784815525,4.120456932517892,7.7954865714001444,6.10091461541585,1.6984092037731053,1.2244298093705106,0.7480939807452912,1.2053863278090766,1.1778395790022234,1.2802044923089921,1.0052965596932886,1.5426527450827432,0.530979826678244,1.1937496094526525,0.23792519224021594,0.22923030988058127,1.2856103917442465,0.38774814514106903,0.7189078197940278,1.2548114715251897,1.3480363163581923,0.3324936745809152,0.7454988364166552,0.6313796166970091,0.6256304106344187,0.42330157618923536,0.2648611330485971,0.48416395493745895,0.34055722001832384,0.2650513354992695,0.21820868780158637,0.9795874190487214,6.443862621602517,1.4975158615102055,3.5910155585794565,3.6887007216080954,2.003105427467756,1.477839681871231,1.614289748843963,1.0403972268300279,1.4354700847202777,0.507371580672254,1.1066002634101915,0.8349256623194257,0.37003350056421175,0.6661966724217617,2.2318719094281163,0.7507946308322969,0.6237192734103116,0.8178454493892764,1.3088522336872637,0.5007182018174542,0.28576733933810866,0.19398290324702164,0.33579442709057705,0.12220489123258196,0.07769431820644777,0.41749774877812895,0.13906396500479445,0.08658297386782457,0.1769977111310654,3.6325508256832317,33.23167406035762,22.91836005188854,9.426173390538212,5.317396761106083,6.507365892307069,5.402910486824072,2.4189179655095234,3.3489112180177107,2.2290080586024374,2.6626359588955384,1.3303319909660967,1.2791272180686866,2.9023025613838365,2.7459979309196205,1.663965677110695,1.709577245249588,0.15205093643121984,0.9811467530198147,1.4093193985234016,0.9775615490530194,0.12482509371262412,1.2630596258414568,0.43431895358897465,0.25304617975346105,0.36721843068604987,0.8720545585045436,0.4195733001129232,0.49349325755949786,0.2455725842781658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424060800,9.25054523457214,16.52974058908137,7.7445697148186525,2.200605409451096,5.08246006573632,1.1335735150564656,1.3313385295337463,1.1273621150474606,2.1187859321048217,1.8077357347861267,0.8868323464311642,1.931686837741463,4.711976922684092,2.5490617753275497,2.652899136487228,0.8610361300450086,1.2108846429364168,1.791647900488989,0.23164332978997762,0.8406138027708514,0.8988599430400804,0.679412559693472,1.367182889420347,1.5215630008875727,0.9772820187315391,0.5882421209915792,0.6891978660956599,0.46387439673295017,0.44359907338618515,0.6203108806788508,5.661939310027119,17.754237043404057,16.50732819805063,13.462902160569888,15.452043203128925,10.779115505044938,6.133598976283685,3.8251998907336833,3.233586733754218,2.068177850300018,1.6361746841490423,1.8489311263108597,3.5659645042008647,3.2219605741008537,3.9585825077145596,2.191910087885093,1.420275930673493,0.459512462601283,1.0591391367262153,0.31451032496431125,1.1423798422349782,1.4468996110067869,0.9693049294989747,0.4742523945036725,0.45412677927487816,0.5975881007446128,0.20783429015236574,0.09152005983093167,0.08959186568507639,0.05353997064979946,0.7363331905617803,5.203330389488402,2.3142523174573357,2.8426548207757416,0.9270383010053147,0.2482979831385751,1.1403774535534257,1.3237656052668965,0.8169181910041842,0.27131965759398496,0.4313353437810694,0.42836747749385307,1.2659547907264994,0.8385536191870792,1.032658100816104,0.9714957260792136,0.5191413141261383,0.6728884206583433,0.732448641378936,1.1399927921115225,0.11982262993003025,0.4283874552110857,0.21968416438288305,0.6358946405164057,0.09598992433538235,0.514974820546352,0.06865259811208962,0.0817655041374105,0.09123972997012,0.14134488923275415,10.32062635358885,19.75665908909013,10.30992718139359,2.6771956105898935,3.98059564127135,1.980829539262998,2.514402669127175,1.0506012631576287,2.078305340567035,1.880751113343998,2.172029900523091,1.7430191227109921,2.2539913994426475,1.0843625481324848,3.7756124652442993,1.5066738477773003,1.7257209126295143,0.32709372556107275,0.5904323520586457,1.0202169850275191,0.8787325457266261,0.3768501447364326,0.5894357957838324,0.8826065263431122,0.6863516691827242,0.6652718828845212,0.8986172645035627,0.3086363479728182,0.29410005947288387,0.6284421853243376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579424061182,2.7948270664650425,4.046220213294909,2.5386446504071047,2.917236021747048,4.612953619578226,4.2119951636245165,1.1913616852116027,2.950390238653797,1.214377113717296,1.8247334871615335,1.5713947839208338,3.041495883688565,1.9231881419503694,0.15266764049340184,2.456131885143999,0.37537078247012023,1.5964611468763987,1.0068823692426863,0.5730952006400822,0.5356887210780299,0.5140743622175826,0.3384094368546786,0.44289166821505244,0.6899168428300926,0.45229909980296545,0.30552505385070705,0.1223830898613569,0.13209911482728845,0.14302122171274673,0.015589178730490687,3.733122990302222,18.317846326625663,18.043889682469725,18.66405119500425,11.13476920471616,11.273078043930257,6.730179737965515,5.160265406040145,2.056560357531785,0.5226689312434261,3.0058386324208226,1.7065620207185723,4.26267859565436,2.652324287980119,4.507932933516052,1.9384450359427594,1.2903567255155717,0.6255128791329861,1.0434033672298035,0.600995106452563,1.3182424441091898,0.7124384693013206,0.8576032322871384,0.6127927920491546,0.29793282919876907,0.2948795197962417,0.61972268211514,0.12486873473627971,0.19077267308425355,0.08515169988004248,1.0526739065478736,2.4022039887194597,5.620846615451939,1.0137325342999024,1.8562197629356874,0.8450212366308222,0.7805742818106827,1.4116411883997535,0.8602498789434914,0.8706560912994502,0.9694472922039594,0.4078547323676651,1.5780171156422684,0.2219627972553762,1.021713497915759,0.5171959106400659,0.543117460739308,0.46518883246982656,0.6697243820610665,0.7305972638798177,0.45280126292138767,0.5101516201227085,0.27745411379094276,0.40867491147430113,0.19689505049730316,0.2565825622448959,0.4785414588262549,0.2322611891768651,0.07656245635862537,0.13371483478020646,2.9580541655214363,4.3213275631703425,4.937949016806571,0.558681575922654,2.6690699296787614,1.6211453773486324,1.30320411265949,2.3215112114717855,0.6998173755577215,2.1498978857357662,1.108991743421697,2.4328401989836186,0.4060467911916422,1.0875401243236218,2.6564652212132023,1.067740492637506,0.5734824789425931,1.157352819444337,0.9416557738719792,0.40158639445021566,1.595478006531835,0.4800071806517745,0.1921181092016398,0.6134618107779671,0.322718557710086,0.5216129890027155,0.316491165007213,0.20756384499958908,0.34119767948649116,0.16217248798757852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
