Timestamp (ms),ch0_1Hz,ch0_2Hz,ch0_3Hz,ch0_4Hz,ch0_5Hz,ch0_6Hz,ch0_7Hz,ch0_8Hz,ch0_9Hz,ch0_10Hz,ch0_11Hz,ch0_12Hz,ch0_13Hz,ch0_14Hz,ch0_15Hz,ch0_16Hz,ch0_17Hz,ch0_18Hz,ch0_19Hz,ch0_20Hz,ch0_21Hz,ch0_22Hz,ch0_23Hz,ch0_24Hz,ch0_25Hz,ch0_26Hz,ch0_27Hz,ch0_28Hz,ch0_29Hz,ch0_30Hz,ch1_1Hz,ch1_2Hz,ch1_3Hz,ch1_4Hz,ch1_5Hz,ch1_6Hz,ch1_7Hz,ch1_8Hz,ch1_9Hz,ch1_10Hz,ch1_11Hz,ch1_12Hz,ch1_13Hz,ch1_14Hz,ch1_15Hz,ch1_16Hz,ch1_17Hz,ch1_18Hz,ch1_19Hz,ch1_20Hz,ch1_21Hz,ch1_22Hz,ch1_23Hz,ch1_24Hz,ch1_25Hz,ch1_26Hz,ch1_27Hz,ch1_28Hz,ch1_29Hz,ch1_30Hz,ch2_1Hz,ch2_2Hz,ch2_3Hz,ch2_4Hz,ch2_5Hz,ch2_6Hz,ch2_7Hz,ch2_8Hz,ch2_9Hz,ch2_10Hz,ch2_11Hz,ch2_12Hz,ch2_13Hz,ch2_14Hz,ch2_15Hz,ch2_16Hz,ch2_17Hz,ch2_18Hz,ch2_19Hz,ch2_20Hz,ch2_21Hz,ch2_22Hz,ch2_23Hz,ch2_24Hz,ch2_25Hz,ch2_26Hz,ch2_27Hz,ch2_28Hz,ch2_29Hz,ch2_30Hz,ch3_1Hz,ch3_2Hz,ch3_3Hz,ch3_4Hz,ch3_5Hz,ch3_6Hz,ch3_7Hz,ch3_8Hz,ch3_9Hz,ch3_10Hz,ch3_11Hz,ch3_12Hz,ch3_13Hz,ch3_14Hz,ch3_15Hz,ch3_16Hz,ch3_17Hz,ch3_18Hz,ch3_19Hz,ch3_20Hz,ch3_21Hz,ch3_22Hz,ch3_23Hz,ch3_24Hz,ch3_25Hz,ch3_26Hz,ch3_27Hz,ch3_28Hz,ch3_29Hz,ch3_30Hz,chAux_1Hz,chAux_2Hz,chAux_3Hz,chAux_4Hz,chAux_5Hz,chAux_6Hz,chAux_7Hz,chAux_8Hz,chAux_9Hz,chAux_10Hz,chAux_11Hz,chAux_12Hz,chAux_13Hz,chAux_14Hz,chAux_15Hz,chAux_16Hz,chAux_17Hz,chAux_18Hz,chAux_19Hz,chAux_20Hz,chAux_21Hz,chAux_22Hz,chAux_23Hz,chAux_24Hz,chAux_25Hz,chAux_26Hz,chAux_27Hz,chAux_28Hz,chAux_29Hz,chAux_30Hz,f_1Hz,f_2Hz,f_3Hz,f_4Hz,f_5Hz,f_6Hz,f_7Hz,f_8Hz,f_9Hz,f_10Hz,f_11Hz,f_12Hz,f_13Hz,f_14Hz,f_15Hz,f_16Hz,f_17Hz,f_18Hz,f_19Hz,f_20Hz,f_21Hz,f_22Hz,f_23Hz,f_24Hz,f_25Hz,f_26Hz,f_27Hz,f_28Hz,f_29Hz,f_30Hz,info
1579472337141,1.4304307104705005,2.7216098397246564,4.677700575203811,4.899117532506052,3.7860483030085224,5.520283801449024,1.5409853220991783,1.2678850419887193,1.0690946449505165,2.1921109203889046,1.5734359064574532,1.2844671771864031,0.8529758470866536,1.9905048132874532,1.9905901916671065,2.331536358361167,0.5401711155783606,2.3760460461699173,1.2780053424349467,1.5429519420740128,0.37453436031390586,0.5113795685689149,0.7787024958386978,0.4385361487883151,0.645676380049867,0.3863053167541782,0.4363714246996871,0.34099126808083413,0.7189602819361149,0.3381153795953755,0.4557563985594537,1.4203880771924497,1.0651569300829369,2.907681363271294,2.9877953341268086,1.0763656953949536,1.186536827871928,0.946934917848237,1.0114449359137323,1.0612375685110003,0.6547147182904626,2.3431387248524262,1.4641994253542534,0.9969018149003347,2.0635116994195783,1.0986859567067895,1.1839419545774075,1.189745971967327,0.09057275663670179,1.248741971366787,0.3866689877461062,0.44378360253749155,0.1933480313387886,0.2987037530743575,0.6049630749479384,0.688497587973763,0.10179347735852648,0.21360220883391745,0.03404587033730058,0.27754730904718633,0.3689355126650977,1.1961381332518237,0.7823981569179264,2.5423476159871625,0.44567114343294584,1.0794425363816407,0.7443740524249346,0.8195498599432199,0.3486876769578935,1.0706638915943139,0.8847071699305531,0.7975319364849,1.0800644154817578,0.8174949737382879,0.8147971511610749,1.5581997276561743,0.7705951720876932,0.5362016679500876,0.22785442236671768,1.1458877759529007,1.1661174868251782,0.5929290741477228,0.5502455980998261,0.08211214171499302,0.05845300675603022,0.18374069520295042,0.05399109545993993,0.26077086660937787,0.22691028367466318,0.2533803852088524,1.4177968933405323,0.8924462310528314,4.966452130017068,4.8480910377121385,8.395904854521977,6.761367274162586,4.512307156761939,0.7364998890384511,2.8607143135955075,4.231151807168388,1.7338727020105693,0.8836629374187728,0.9299790652612744,1.4648977119831936,1.2620396896877508,0.6532809274683742,0.19176074366600593,0.48825587116403235,0.544683046974654,0.7297910588458945,1.0939799296592831,0.570275775482902,0.9848255249817355,0.2983832978074141,0.8509143779512515,0.28512683782966985,0.630639167032991,0.2530635718206951,0.11316658616760686,0.3169912758965692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472337407,0.6677922639620789,3.352449300045139,8.261052740436023,5.701754723144988,4.695798727487846,3.3313595261273785,1.1124294281190814,0.9731147641201676,1.3272828321609342,2.4466337487862435,1.446701443327716,1.7205201967768977,1.2174071222303544,0.8497130277597204,0.9462656710915727,2.8347762091071567,0.8002848689517954,1.8884838244367255,0.8940599969519687,1.4599494022714847,1.4756518199140134,0.5066405191603504,0.3881093226982591,1.104670634929106,0.3695378353702719,0.2695568145726439,0.25712102618015376,0.3870439270956497,0.4347813291954174,0.3448849673497117,0.6839966986148904,2.392260062655443,1.6256621373383415,3.115278408486564,2.1340667765629426,1.7296954793441397,0.47280720938460946,0.8144831433613436,0.21852194960071397,1.6658879556188464,2.1626846074395725,0.7278258324352748,1.952389044321804,2.7991367865964296,1.4046603767860784,0.5092493615363701,2.0244944759908727,0.8767388306346261,0.8361990440355603,0.7399243039859704,0.7554810280258927,1.1284529014034894,0.6269564919686826,0.23137064097552634,0.6097781240146803,0.1927175181377573,0.20889821309111273,0.0971664140881395,0.34528565478644146,0.0635073846502323,0.36159817816508677,1.889348768604051,1.5506229779282745,1.7100535163976336,0.8308038767455437,0.5680637886107565,1.2223112140148624,0.41042732084749295,0.9837914174307452,1.2748147844021513,0.891483334998672,0.7595669745377827,0.6805917526969898,0.9043057716374987,1.0909325661765956,0.9392679308280458,1.4175716123679671,0.5646164236438657,0.4924035837536209,0.11610383370580386,0.6385536508134791,1.0318566021292284,0.45164400669833293,0.5800323054954413,0.3905454362913307,0.1995734346142014,0.14530893011110618,0.12700144310394407,0.41864971425963965,0.13553528971547002,1.5090569711648374,3.7937951951738205,8.81742756555407,7.472404922458406,8.589229860640787,3.244441276959385,2.0575544397498513,1.249468363187164,3.498406495837174,2.3508779899704657,1.993767390127442,0.8669364353768115,1.3569114934796074,2.5884595166823177,1.0920077685216982,1.5640086970792433,0.5671997233469155,0.5819695758562918,0.5260385682730648,2.030067557514192,1.7104536659869087,1.2757389624625224,0.7542450766500074,1.070579563745675,0.7970770772983844,0.5924491048498464,0.23372083773025873,0.18505777757368153,0.2543191020265571,0.2938294593886351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472337793,0.8912681011322588,4.014808842542785,8.348511863842992,4.649189192014017,3.9442018656950775,2.9843102027963777,1.9783680344480739,1.419152768054052,1.025731523006383,1.9251466577467327,2.7987751445586855,2.237819221987629,1.0287593045968453,0.8654461919501302,1.4514520905798207,1.6607905552818383,2.1911374826406265,1.3007854454324101,1.2738197277862735,0.057792009854634924,1.5776372706587383,0.839953735223854,1.183752851765363,0.10707453761013896,0.7448069294370295,0.29077453520902624,0.2242428712563226,0.7216061868161951,0.4672637983019242,0.7071082843978302,0.24433310151423027,2.389787216181034,1.7685863629318503,2.9046806551499103,2.2480338249397316,2.228461561167189,0.5911326645497453,0.8957004819705903,0.6304528001348838,1.4314776796751834,1.2763593069530468,1.0202866780876685,2.3467470578339205,1.9116443823879583,2.4874587473926444,1.185196427719312,2.0809947312929222,1.1269830377308971,0.8887155887783212,0.7117456057866429,0.5312997225198396,0.4717987810236638,0.7138471611126608,0.40728344847006076,0.5113787186759793,0.1350487635722839,0.17568014429849116,0.2843310410526437,0.24650452656102337,0.09639723200959956,0.3509240698284377,1.34754374676135,2.1366041271716867,1.3428451552512934,0.9666682832527366,0.797149899783258,0.9336461446940105,0.13433999060912902,1.3889190166656604,1.6790530451630736,1.568149125160568,0.9764910389026598,1.4906431121559771,0.7919298491497303,0.2153414280371223,1.8433119075279802,1.6052906901580302,0.7353425132927559,0.41030183580886787,0.926581451839394,1.081331140839355,0.5697224744164889,0.6477830306832594,0.5877595523050739,0.12507961891253705,0.32525354476525525,0.11646866874640492,0.23554629914969483,0.3270363211753009,0.09908237795720497,1.5539283976365512,4.940250185883754,9.028406489373424,7.442184653517948,6.091470601307271,4.172078389693281,3.6793222680789888,1.812476803399055,2.847649628782914,1.7228566511060268,1.5539481901489305,1.4330817521657868,2.545211864740161,0.7912697735212565,1.6214306865885102,1.2601147538818174,0.7105227452970964,0.468875912703681,1.8513781374355225,1.37733162576574,1.9867349583585403,0.2634857017695832,1.156744773390472,0.4885130179322429,0.7117827039695757,0.3174945161312335,0.37491227885986966,0.31754417509833777,0.5555165771743429,0.38093812691611323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472338262,1.0335457927344074,2.9152077853166456,3.2943946823839134,5.480464286197049,4.30167280168058,8.252459644869784,6.426778114166498,4.106364395689471,3.3579315418497844,0.6438447498591371,1.812372396752454,1.9165953815587686,1.4620691620932045,1.232297440069219,1.3711784161316396,2.0499226166387237,0.4784071093542613,1.8828998035524616,2.698200077953016,1.8884058464183142,1.0264025543115312,1.4986917234994737,0.7391732933273627,0.8687601567409489,0.30040383040243485,0.8776898350035138,0.38238432300199854,0.04129341542096473,0.5230796195250557,0.5288819163035807,0.5910152326242977,0.6082127013584644,3.1691901876907904,2.202556431402673,2.427160804075728,3.2079659660898607,2.860511873860396,1.3945453922731577,1.408386553493838,1.7319464772474906,1.1946969787548898,1.7769754562397793,0.905149477919302,1.124928382490011,1.1864644925740169,1.6708519748475565,1.5542413004692306,1.8027299028149772,0.3918810940484195,0.753446561654039,0.8929974086801062,0.16102870165644648,0.40122898120090317,0.5184370674706702,0.4160822636456104,0.17146507234748498,0.18773921986265518,0.15995652110631547,0.07433197287700019,0.18234238684523668,0.25503733365550074,0.933513540553773,1.0725760294960915,1.0890734726643485,2.3181918426041164,0.8191525365652431,1.6835804999822537,0.6672425878534893,2.5184515641760727,1.5565929872132331,0.8917818496220236,0.8035276276727746,1.821381889771816,0.7351531366465219,1.4090548074768756,1.6320626051720446,1.3569032419952047,1.59422649773666,0.979627746942835,1.3159799217260624,1.0248720201539105,0.5412016593416124,0.5600544743356819,0.8027706313927216,0.4389405231932115,0.03749924315687519,0.40912939880221866,0.33763886893265865,0.15594163784043055,0.04119247229812211,2.7216009889000903,5.362598041977968,2.6682472768681595,2.191497751297848,5.948119157861488,8.929963528189285,4.062044343071899,4.718136465684325,3.483826459083278,3.0614100675598714,1.2238609872804571,0.26805259004279747,1.1841422959427155,0.3904674083904054,1.761329282993666,2.168584482081653,1.891226048501626,0.9281345969835426,3.1059354406264927,1.8285625733353017,0.7765836450640096,0.5461734388131722,0.39523854013181636,0.823587484287709,0.5611560155183334,0.5375041400258216,0.6860785288980764,0.268501017509965,0.6484016006093805,0.4751697245833159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472338628,4.776278319482533,7.1365104799424195,17.31596097286427,17.116105578738992,6.892877775201213,7.2835171110542865,2.105024585912461,5.152384062535989,5.4491282909044285,2.3365492276052273,1.0401634791998784,0.9587281555339038,1.829277357081437,0.7074819060127909,1.7291814774632017,1.2146381727525386,0.610591715679536,1.2878430095041544,2.1139267157319486,1.4254228704895113,0.6561616913847952,0.2088078343440312,0.8686750664257287,0.23342236411488054,0.3567861632590113,0.31410141050082707,0.4633677716926762,0.12262799493212832,0.4079099874837762,0.5177688512217551,0.9835172917550917,2.0562040058986533,6.324713930064108,5.842658069467989,3.733064851892507,0.9816432029755159,1.2263366677381293,1.1286597583641378,0.8818887728914183,0.17658274914370586,0.4327369285163287,0.40062980154441025,1.310892507312225,1.5024844412602838,1.3067111626086,0.509730068487739,0.28726940121330535,0.5860289253395277,0.7003249882262907,0.7609841249532475,0.26157037888684737,0.27481938930512895,0.5277856046337226,0.8157887573475985,0.6207856134398467,0.1993143865820503,0.05456039427865083,0.39895667821110986,0.30971516244324837,0.15199299228996468,1.7434051652217206,2.4903564707703665,5.992680916831848,5.716983861063817,1.4101155342165503,1.3258034469232614,2.1309249953764025,1.4966899795637345,1.963138464856313,1.4395671101946947,0.5940859325345739,0.023117999030613255,1.5125420619303007,0.8442976298411511,1.3420108257339805,0.46462059947389145,1.4331132519985805,0.35007833653238685,1.639969337883414,0.7927874217435295,0.3326405545955418,0.04158714750349715,0.2603616047519357,0.7207568864900815,0.14583060409165113,0.27431187727941964,0.17228461968495024,0.5271478502142755,0.09415934618029742,0.1448036256921931,5.384456459961003,4.81332895794989,15.060466394996553,13.317795515723496,9.965023461726043,6.56108343340121,1.9336407886320788,4.679248373884531,4.941452808794424,2.64263471029292,0.932127948903503,1.254764404658262,2.1954055345803396,0.7869303183601878,3.1356540696560766,1.2996201411016854,0.35166793169290184,0.694562539585777,1.5620283154700778,0.8894354308337888,0.22017182069131655,0.7110833260666062,0.16655873446998848,0.2429400386316474,0.7400768016054742,0.3466113233710015,0.29331639524360936,0.3588797232526031,0.1723743020548944,0.16508121851255594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472338980,3.3780498805291823,14.496356899987472,20.26034129067782,16.98679877394185,6.944908912936339,6.8559313587518345,1.6172891475034716,2.1923499487247935,4.012839872795489,2.8047794632960605,1.1229626814291547,3.46660776662571,1.7384706743975165,0.5559413342418568,1.5473916815961912,1.463693886440726,1.0291823072035085,0.09904383848492258,0.5504074973319424,0.6727380912623909,0.4189041914074948,0.04044747660198118,0.6392052682952505,0.44388440950397345,0.486964436139329,0.41061773324245865,0.5527283645944867,0.17971741846665906,0.5360349017557721,0.31030874254065655,0.9475348372875351,3.891984476175629,7.372138344027475,6.862037023832865,2.2860332305393465,0.4286727948281675,1.5787864093316346,0.9146947026902542,1.9033980335676528,0.5085514008473757,0.9790211005960641,1.3598624847037206,0.9814706370811577,1.8696459339130262,0.25963831307802065,1.0088661117066158,0.404231911656631,0.5058374803328919,0.25131844074256715,1.2823150410534727,0.3281503907536718,0.3210886266962119,0.6808112050004739,0.6404933896770613,0.17716077208460568,0.6481297460178235,0.07007489607885663,0.36166381233586015,0.1523110992423626,0.20347344932956163,1.8795815077959654,4.99220452994982,6.459959432615935,5.3015992947163415,2.4635336623707995,1.6519079867950124,1.7829393792340587,0.9929959605777928,1.1675410838684015,1.8524883259328757,0.5343282089976179,1.1485876573290223,0.9326418201176513,1.042964029464315,0.37424662508687745,1.1712314643391113,0.6226880226874018,0.644266058223564,0.9141180205147392,0.7191064243808375,0.8118256753204616,0.274740759756777,0.7023287419490023,0.31510104320697835,0.340123073730261,0.36641498683945284,0.24912676693039248,0.31566495314688037,0.04498416996600913,0.13492694792274498,3.8605827780984043,10.691013273139847,17.4760058761016,17.22354958237892,5.499139498223454,3.8280436119896564,1.9616988224713725,0.3388899713952019,4.1250518558851175,1.2481839337515663,0.4453858393960137,2.192372088253721,2.242171167694376,0.15377557879734616,3.2500358048952256,1.2372047343083792,1.3306811101183253,0.7901978560497276,1.3483545438419178,0.46851865354063027,0.41945347817009115,0.35093686396682366,0.6352753736039787,0.33266538836381354,0.6439242173200778,0.17644266869947706,0.09021903109633458,0.042037338847499404,0.1925811499073343,0.05544135777346903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472339390,4.241680280933261,17.250065513602962,12.430042704708873,7.84076161558302,5.412427839137541,7.732446825271823,0.5011490743455833,0.7620919325910687,2.2680471278287455,2.0011437071738434,0.5120209051074817,4.5717668458256515,1.7630341003917613,0.16713884127156972,2.519894361197178,0.5511501818599412,1.0474424262469255,2.072858177612075,1.5443377926687012,1.4563908719384813,0.4669940894860053,1.3563333485186395,1.6818198502167119,0.8146122954502554,0.9125976198711131,0.9838433093754871,0.2783876999800698,0.14193323200306937,0.5520693362628304,0.31018963690924944,2.258594324079294,4.8020816282742915,5.316143011228903,3.3147606060160797,1.822994400378778,2.0847332812256467,0.33933117790319695,0.7590782974363404,2.4205453278079667,0.8856260204148091,1.752322644225292,2.59605431581004,1.1713154106427095,0.6412157127442866,3.1083108982392296,2.1207551309864785,0.9216052366138476,1.9902157708692045,1.7205318501122238,0.5199698717481129,0.17455642767779736,0.6073959218234274,1.2910956654686676,1.0652152440910798,0.5799907429283157,0.6994006922724118,0.329741979798632,0.5801872809737818,0.23261114784382786,0.16566441169957502,1.7419544231622455,9.957946336935821,5.990831889053567,3.263748433839162,2.596810530826747,2.363119909477456,1.5880876400058006,1.7486809809852486,0.6232376087236734,2.163001297680477,0.7885834892799589,0.358182306746908,0.6419486893057982,0.5817326915932431,0.9609973890582091,0.4103752022939031,0.2608373117574071,1.0988794574376683,0.7279695952754104,0.6792851395871603,0.4078694978940135,0.2110282689547421,0.5893286726438951,0.4433287747349345,0.7198303501011827,0.26994754369075136,0.07451734256054283,0.30477562551458587,0.059660444360215587,0.12839041318554614,3.4038365601067886,14.405215986538284,10.349046486723537,10.232855262749577,4.032416712375644,4.834015820782585,2.3625617594062036,1.8535888175259632,3.2572614695386592,2.295971321332871,1.330474941635179,3.1112233461740866,1.443470040833994,1.8409856351951768,1.7879399187201817,0.5411018010910431,1.252682852728257,0.549210138975764,1.9431233221423305,0.18242105459403515,0.4212972129908098,0.024999600933662203,0.4791928126924647,0.9479117043366322,0.9287172436161758,0.546908250715589,0.5151390797844518,0.20868946899273397,0.42565705384576996,0.2461514934464533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472339757,8.486157526437966,3.7958211799667514,1.2915476659698961,13.176459937608616,8.749585759333874,8.927306729287498,4.992428871301932,1.2548521457102346,0.7489658868908537,2.6963034185002415,4.682558239078267,2.551119484611588,2.136478769109888,0.7082109577519932,4.145356179954018,0.7671446698885626,1.2992167362497928,2.3971517247978786,1.6508520398438455,1.8373608277643831,0.35607138409299194,2.0268543054337593,2.0209912953029825,1.1057019477580778,0.9364710261571433,1.3126282060113639,0.7402466394997741,0.5562379074789756,0.6256148673408006,0.25459550238567447,3.1791428852523973,6.782753136339755,1.5103761679044498,9.49718788846566,6.1628644393434024,3.213680699799724,2.0691559435841183,0.2469816518578657,0.9690655906544241,3.730987416990912,1.8538389381553997,2.4754361669568676,2.25212838488836,0.9468388471659802,2.5827919896442815,1.9846615544567003,1.1948334979969422,1.6614623415217398,1.6972634489911296,0.5399857158873317,0.5737175533508656,1.1173322147305995,0.9416283546922611,1.8280001269850898,0.6352316795333534,0.75880455546511,0.8686521654311361,0.3340115347145236,0.7764523556082753,0.20826986815714346,1.831938114813254,10.3723721549064,2.91458660471391,5.176464784679796,0.8643815109103362,0.6972317826585378,0.5162335950220744,0.12720188423506,2.5266553153950078,1.2849099477589485,0.5088897336745173,0.7672398144448558,0.8365404876581448,0.8921257341173372,0.3921948754313449,0.2762001675510986,0.5804364376056376,1.248420377319838,0.9315856908868488,0.3269202526175485,0.40945550036908546,0.3000098567436188,0.35870739180007377,0.5143934355308745,0.5322101606723579,0.2203626871495247,0.2998550042044113,0.18576934479526788,0.15749717261198734,0.054499877956132876,8.891464866703235,2.623839669541402,5.2734430056101385,19.561551508423513,10.471511303715868,10.272890101980058,4.276731843622401,1.6928532663984515,1.9308648700753135,2.560224442565575,3.3796107079587414,1.396247964430828,1.5895348982632929,2.960548520405399,2.505013247722025,2.5130191510738302,1.0981618550144372,0.3705306751238089,0.6687020723113629,1.9924120851626905,1.0931231177288991,1.1509423285142155,0.8568212784543259,1.1951208214338516,0.45428423617808406,0.7275064343486525,0.9912176562260926,0.5247308706611771,0.556780381043985,0.6370218992475175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472340140,5.1396973913076955,9.930435073234259,11.558669523027497,12.126838198347693,4.403184574172479,7.896359692328822,5.746648536535258,5.144312472556409,2.3875927364389358,5.55327293416716,3.599387212983683,6.054168357218275,2.639570848937302,1.386930490190529,2.478561280229638,1.113234585875616,3.02385010379678,3.948750346921651,2.0911719749597575,2.5560273420030133,3.896863020917856,3.966519373142219,1.1651887254314084,2.7713446608700467,2.799769571940989,0.22808779397252602,0.1253077747911256,0.6780246455634837,0.38792546853595133,0.4087837894794308,0.7925167663783759,8.67146139618316,9.574499638603294,6.965011225073435,3.069967397107466,2.284511429607136,5.704652961839978,1.366156358980018,1.1825476589671926,4.766175955620393,0.4277024608594636,2.1718243797351695,1.8421497150270725,2.8278943862343446,1.9187173937047086,1.7231491358219684,1.439602387465893,2.3586812670330675,0.6131624081005478,0.629914118477051,0.5536214813881013,0.9503318509762877,0.5631850217034324,1.9191763268530688,0.798282213856208,0.9267214469991306,1.062001077267472,0.06862716031133459,0.9054814257472282,0.42709053149855253,3.020899275404567,9.284451813811257,1.8204576950972995,3.1857429534778725,2.6297807112982157,2.2573220340645896,3.2918384954805164,1.922410352790799,2.0754199913144062,2.4170430264481633,2.0768257566398565,1.0995761042856582,1.3574857187009435,1.0095374668947967,1.7853900785177896,1.6648786140928444,1.027972981521796,1.0349834700678813,1.6646263043859952,1.0119791610274,0.4101817588261714,0.43359755077849965,0.3428202518471344,0.956010793173225,0.5831571058104578,0.6181803762121388,0.5746283751889335,0.3166662556335461,0.21436334110051708,0.2929158178905122,3.532831847730592,12.854220025556497,17.80260046663866,13.814785649919664,6.986080660380041,7.106356505361154,5.104249444143915,2.5107487143526,1.9542199271853795,2.756061605836851,4.189996457341893,3.3503554538700158,2.2520553404527983,0.5023510673574196,0.5330874071143548,1.7938092646017405,0.6548193603929495,1.2416114838869816,0.510786612225726,1.0817761576566691,1.8878287203332047,1.5890560890405618,0.6450961306706408,1.8599922959163568,1.7305462115117087,1.3835559381906781,0.4124198914966814,0.6784706050030891,0.6804575142053109,0.366223753477154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
1579472340574,0.9663790035549816,12.009914761387305,12.227251644075693,10.466204000997177,2.7667841067233763,8.238277729769134,2.972431534231724,7.614948195476639,4.978644994861155,4.0187169710037605,2.7520281466058707,6.87555259239795,3.330682938912142,1.7993458292904483,1.2919721340616535,1.2726806980648122,2.602396810593937,3.140505969157552,2.3767521745249542,2.6895873146144025,3.659062363873669,3.3219033170387746,0.9114815997711648,1.6771600394231116,2.8104886463036207,0.5247313213145242,0.6258672839253522,0.7392969402357404,0.764460794818451,0.19581521547183015,1.3337321455531723,6.7986472803745714,12.91271792293643,2.7432982521134748,2.286247000893328,2.9957642963370534,5.592806730988953,0.8409400575606385,0.4767391703568751,3.318742172498779,2.1632898252975155,0.6361474421345177,0.9453864753872885,0.47852658912228385,2.5870468406287026,0.877288802976546,1.367198631980952,0.1690954914006813,1.0465731223312682,0.12922400931187952,0.8658838158105361,0.6539309790808978,0.5882503479989468,0.9882076223760484,0.5190851440548082,0.535729223210288,0.8215151640234949,0.1568372055227586,0.7765033516625118,0.21158603606716633,1.58588934069778,6.049716716606251,5.856236956356603,1.1803698342844573,5.818052608135267,3.7429929308992547,2.8705942790766055,0.51478514090709,2.46697707666297,2.327265342320025,3.1023049160482907,0.5924679688693407,0.4587515473623693,2.358289966453973,1.490783253309194,0.6980891176894314,1.0602142243043993,1.8522622265307025,1.3018513936390304,0.40094022037612426,0.1454926574755165,0.8763265979886362,0.5510064124029488,0.8385347938194607,0.36735405795729803,0.049285507515687485,0.13059041360186024,0.1437268937170374,0.10427158934302536,0.12086049312666812,1.8134238198797716,15.797224044678597,18.06138493499883,9.79464112351465,7.802638637508551,4.598589649822667,4.951135759541582,4.1659894551993535,3.3618489814050894,0.9028514511624041,2.9219883776204467,3.5318347182647023,2.7151633738808796,0.6698866420049047,1.9163690912078675,3.03784372469232,0.8314755752118308,1.538414796704935,0.31998565556546205,1.1969887237096541,1.5830088828703066,2.1683560636864745,0.5292307674308973,1.8657022748162386,1.7997181931982404,0.49325505835130895,1.1146121071083839,0.7580739238741625,0.014103111258413181,0.6156601241784984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,[object Object]
